Model,Accuracy,Precision,Recall,F1-Score,Train Time (s)
Linear SVM,0.756985698569857,0.7280168999207817,0.7004573170731707,0.7139712546937719,0.21231555938720703
Logistic Regression,0.7537953795379538,0.7364902506963789,0.6717479674796748,0.7026308796173266,1.2203021049499512
Naive Bayes,0.7484048404840484,0.7268225584594222,0.671239837398374,0.697926297714965,0.021843671798706055
Random Forest,0.7361936193619362,0.6999479979199168,0.6839430894308943,0.6918529940889232,178.77164220809937
