Model,Accuracy,Precision,Recall,F1-Score,Training Time
Linear SVM (Baseline),0.757,0.728,0.7,0.714,0.2s
BERT,0.8447458374682986,0.8141724479682855,0.8331643002028397,0.8235588972431078,889s
